Gale Sondergaard
Alice Brady
Fay Bainter
Hattie McDaniel
Jane Darwell
Mary Astor
Teresa Wright
Katina Paxinou
Ethel Barrymore
Anne Revere
Anne Baxter
Celeste Holm
Claire Trevor
Mercedes McCambridge
Josephine Hull
Kim Hunter
Gloria Grahame
Donna Reed
Eva Marie Saint
Jo Van Fleet
Dorothy Malone
Miyoshi Umeki
Wendy Hiller
Shelley Winters
Shirley Jones
Rita Moreno
Patty Duke
Margaret Rutherford
Lila Kedrova
Shelley Winters
Sandy Dennis
Estelle Parsons
Ruth Gordon
Goldie Hawn
Helen Hayes
Cloris Leachman
Eileen Heckart
Tatum O'Neal
Ingrid Bergman
Lee Grant
Beatrice Straight
Vanessa Redgrave
Maggie Smith
Meryl Streep
Mary Steenburgen
Maureen Stapleton
Jessica Lange
Linda Hunt
Peggy Ashcroft
Anjelica Huston
Dianne Wiest
Olympia Dukakis
Geena Davis
Brenda Fricker
Whoopi Goldberg
Mercedes Ruehl
Marisa Tomei
Anna Paquin
Dianne Wiest
Mira Sorvino
Juliette Binoche
Kim Basinger
Judi Dench
Angelina Jolie
Marcia Gay Harden
Jennifer Connelly
Catherine Zeta-Jones
Renée Zellweger
Cate Blanchett
Rachel Weisz
Jennifer Hudson
Tilda Swinton
Penélope Cruz
Mo'Nique
Melissa Leo
Octavia Spencer
Anne Hathaway
